"Município"	"População"	"IDHM...Educação"	"Escolaridade.Adulta"	"Frenquencia.Escolar"	"Alfabetização"	"Renda.per.Capita"	"Despesa.Educação"	"Matrículas"	"Docentes"	"IPDM...Educação"	"PIB"	"IDEB_Médio"	"Grau.Urbanização"
"291"	"Quatro Barras"	"20.135"	"0,665"	"0,59"	"0,70"	"95,30"	"800,40"	"7.937.296,43"	"5.760"	"275"	"0,5827"	"732.944,358"	4.35	"90,38"
"292"	"Quatro Pontes"	"3.816"	"0,748"	"0,50"	"0,90"	"98,76"	"1.093,43"	"1.500.930,61"	"775"	"49"	"0,7947"	"76.913,217"	4.95	"64,08"
"293"	"Quedas do Iguaçu"	"30.854"	"0,576"	"0,41"	"0,67"	"88,86"	"586,88"	"13.657.793,22"	"8.532"	"417"	"0,5317"	"942.566,223"	4.85	"68,57"
"294"	"Querência do Norte"	"11.752"	"0,604"	"0,40"	"0,73"	"84,64"	"509,13"	"4.269.530,64"	"3.555"	"177"	"0,6166"	"101.387,168"	4.4	"64,98"
"295"	"Quinta do Sol"	"5.037"	"0,631"	"0,40"	"0,78"	"83,55"	"583,64"	"2.244.795,73"	"1.326"	"62"	"0,4215"	"83.987,923"	3.9	"74,90"
"296"	"Quitandinha"	"17.229"	"0,603"	"0,37"	"0,76"	"92,89"	"452,08"	"7.988.047,29"	"3.955"	"174"	"0,6190"	"172.324,381"	4.2	"28,60"
"297"	"Ramilândia"	"4.155"	"0,489"	"0,30"	"0,62"	"84,63"	"426,70"	"2.970.335,57"	"1.165"	"54"	"0,6490"	"48.849,239"	4.3	"49,42"
"298"	"Rancho Alegre"	"3.937"	"0,633"	"0,42"	"0,77"	"88,92"	"590,51"	"1.783.651,28"	"1.000"	"60"	"0,6209"	"42.858,988"	4.45	"87,74"
"299"	"Rancho Alegre D'Oeste"	"2.827"	"0,625"	"0,37"	"0,80"	"86,17"	"528,21"	"1.328.196,23"	"730"	"43"	"0,6054"	"54.951,521"	5.25	"80,89"
"300"	"Realeza"	"16.363"	"0,630"	"0,44"	"0,74"	"92,18"	"704,94"	"6.799.671,69"	"4.225"	"220"	"0,7656"	"255.982,028"	5.7	"72,20"
"301"	"Rebouças"	"14.216"	"0,576"	"0,37"	"0,71"	"93,15"	"449,27"	"4.707.095,40"	"3.805"	"187"	"0,6653"	"164.998,669"	4.95	"52,94"
"302"	"Renascença"	"6.801"	"0,630"	"0,41"	"0,78"	"90,26"	"831,49"	"2.373.350,27"	"1.632"	"80"	"0,7376"	"121.022,065"	4.6	"51,16"
"303"	"Reserva"	"25.264"	"0,461"	"0,27"	"0,60"	"85,24"	"457,88"	"8.246.362,83"	"7.027"	"280"	"0,3415"	"291.845,217"	4.15	"48,49"
"304"	"Reserva do Iguaçu"	"7.356"	"0,521"	"0,32"	"0,65"	"88,04"	"419,62"	"4.114.522,97"	"2.512"	"116"	"0,4786"	"66.640,593"	3.9	"53,44"
"305"	"Ribeirão Claro"	"10.661"	"0,627"	"0,45"	"0,73"	"92,55"	"639,91"	"4.515.168,32"	"2.766"	"139"	"0,7415"	"285.197,605"	5.5	"66,35"
"306"	"Ribeirão do Pinhal"	"13.462"	"0,611"	"0,40"	"0,75"	"84,62"	"563,87"	"4.938.512,74"	"3.537"	"197"	"0,7234"	"108.051,534"	4.8	"81,91"
"307"	"Rio Azul"	"14.176"	"0,544"	"0,35"	"0,67"	"95,83"	"740,31"	"4.665.351,56"	"3.232"	"159"	"0,5568"	"238.758,394"	4.85	"35,56"
"308"	"Rio Bom"	"3.318"	"0,681"	"0,44"	"0,84"	"91,54"	"524,89"	"1.622.608,93"	"814"	"44"	"0,8678"	"33.270,205"	4.6	"60,20"
"309"	"Rio Bonito do Iguaçu"	"13.652"	"0,498"	"0,26"	"0,67"	"89,14"	"405,76"	"7.315.859,85"	"4.486"	"248"	"0,5983"	"119.410,588"	4.9	"24,32"
"310"	"Rio Branco do Ivaí"	"3.909"	"0,537"	"0,36"	"0,65"	"85,01"	"387,85"	"1.844.688,17"	"1.015"	"58"	"0,4708"	"38.139,782"	4.3	"23,58"
"311"	"Rio Branco do Sul"	"30.751"	"0,545"	"0,41"	"0,62"	"89,53"	"548,80"	"12.924.680,43"	"9.685"	"421"	"0,3571"	"809.517,779"	4.35	"71,92"
"312"	"Rio Negro"	"31.471"	"0,705"	"0,56"	"0,78"	"96,46"	"709,13"	"10.399.903,58"	"8.756"	"399"	"0,8157"	"580.700,808"	5.15	"82,21"
"313"	"Rolândia"	"58.511"	"0,661"	"0,54"	"0,73"	"93,83"	"819,52"	"19.164.941,90"	"13.127"	"606"	"0,7319"	"1.230.993,764"	4.95	"94,62"
"314"	"Roncador"	"11.377"	"0,595"	"0,37"	"0,74"	"84,45"	"500,36"	"4.190.640,01"	"3.079"	"145"	"0,5584"	"139.909,143"	4.6	"61,71"
"315"	"Rondon"	"9.025"	"0,610"	"0,46"	"0,70"	"89,33"	"724,58"	"3.295.601,24"	"2.145"	"112"	"0,7324"	"166.490,449"	5.1	"79,99"
"316"	"Rosário do Ivaí"	"5.512"	"0,577"	"0,34"	"0,74"	"80,47"	"422,97"	"1.992.779,72"	"1.551"	"83"	"0,5772"	"38.071,668"	4.4	"48,69"
"317"	"Sabáudia"	"6.149"	"0,676"	"0,47"	"0,80"	"90,26"	"663,20"	"2.295.337,02"	"1.498"	"74"	"0,7209"	"126.607,464"	4.3	"83,61"
"318"	"Salgado Filho"	"4.327"	"0,604"	"0,36"	"0,77"	"89,14"	"557,15"	"2.008.580,77"	"1.328"	"75"	"0,6791"	"58.997,991"	5.05	"51,19"
"319"	"Salto do Itararé"	"5.150"	"0,631"	"0,39"	"0,79"	"85,08"	"490,56"	"1.728.258,56"	"1.170"	"71"	"0,6662"	"136.328,177"	4.45	"71,90"
"320"	"Salto do Lontra"	"13.761"	"0,625"	"0,42"	"0,75"	"90,27"	"650,57"	"4.323.707,19"	"3.160"	"166"	"0,6387"	"169.049,265"	5.4	"54,28"
"321"	"Santa Amélia"	"3.757"	"0,526"	"0,31"	"0,67"	"88,81"	"470,75"	"1.692.669,69"	"1.142"	"63"	"0,6248"	"37.444,121"	4.25	"75,89"
"322"	"Santa Cecília do Pavão"	"3.614"	"0,661"	"0,44"	"0,80"	"82,17"	"553,12"	"1.625.094,33"	"913"	"73"	"0,5852"	"52.221,797"	4.4	"83,85"
"323"	"Santa Cruz de Monte Castelo"	"8.055"	"0,633"	"0,46"	"0,73"	"87,09"	"552,67"	"2.551.592,25"	"1.958"	"104"	"0,6240"	"108.114,669"	4.15	"71,09"
"324"	"Santa Fé"	"10.552"	"0,601"	"0,47"	"0,67"	"91,30"	"709,44"	"3.441.051,25"	"2.493"	"90"	"0,6540"	"117.648,914"	4.45	"88,50"
"325"	"Santa Helena"	"23.638"	"0,678"	"0,49"	"0,79"	"92,30"	"791,53"	"18.545.402,00"	"6.093"	"376"	"0,7740"	"413.132,028"	5.25	"53,76"
"326"	"Santa Inês"	"1.797"	"0,659"	"0,45"	"0,79"	"87,00"	"533,95"	"1.010.445,99"	"498"	"41"	"0,7472"	"23.038,494"	4.5	"65,57"
"327"	"Santa Isabel do Ivaí"	"8.730"	"0,656"	"0,47"	"0,77"	"87,92"	"610,69"	"3.520.525,54"	"2.007"	"106"	"0,6828"	"82.996,908"	4.75	"80,62"
"328"	"Santa Izabel do Oeste"	"13.242"	"0,603"	"0,42"	"0,71"	"90,22"	"540,49"	"7.764.976,54"	"2.948"	"204"	"0,7021"	"145.853,272"	5.55	"56,51"
"329"	"Santa Lúcia"	"3.910"	"0,592"	"0,41"	"0,71"	"87,08"	"578,04"	"1.611.027,98"	"899"	"49"	"0,5934"	"55.580,011"	4.35	"64,61"
"330"	"Santa Maria do Oeste"	"11.336"	"0,477"	"0,30"	"0,59"	"85,56"	"334,84"	"5.954.214,54"	"3.293"	"156"	"0,4458"	"73.179,419"	3.9	"27,92"
"331"	"Santa Mariana"	"12.356"	"0,624"	"0,44"	"0,73"	"86,30"	"564,10"	"3.889.329,43"	"3.014"	"184"	"0,5081"	"149.128,830"	4	"66,91"
"332"	"Santa Mônica"	"3.601"	"0,630"	"0,44"	"0,74"	"87,13"	"614,27"	"1.833.501,90"	"1.006"	"59"	"0,7422"	"36.803,833"	4	"41,30"
"333"	"Santa Tereza do Oeste"	"10.300"	"0,632"	"0,47"	"0,72"	"92,55"	"573,27"	"3.967.597,57"	"2.579"	"103"	"0,6385"	"163.333,202"	4.5	"77,77"
"334"	"Santa Terezinha de Itaipu"	"21.031"	"0,689"	"0,52"	"0,78"	"92,74"	"688,34"	"9.290.465,93"	"5.847"	"282"	"0,7486"	"241.881,459"	5.95	"90,38"
"335"	"Santana do Itararé"	"5.220"	"0,585"	"0,35"	"0,75"	"83,90"	"467,18"	"2.389.613,76"	"1.285"	"63"	"0,5369"	"45.130,742"	4.1	"65,84"
"336"	"Santo Antônio da Platina"	"42.920"	"0,617"	"0,51"	"0,67"	"90,25"	"765,04"	"13.345.367,88"	"10.622"	"520"	"0,5806"	"506.702,086"	4.05	"86,51"
"337"	"Santo Antônio do Caiuá"	"2.716"	"0,632"	"0,44"	"0,75"	"87,02"	"455,52"	"1.431.689,89"	"735"	"43"	"0,7832"	"25.839,938"	4.7	"77,85"
"338"	"Santo Antônio do Paraíso"	"2.379"	"0,662"	"0,47"	"0,78"	"86,93"	"561,33"	"1.957.284,95"	"602"	"43"	"0,7554"	"34.816,194"	4.7	"75,66"
"339"	"Santo Antônio do Sudoeste"	"18.972"	"0,543"	"0,37"	"0,65"	"88,34"	"585,95"	"8.169.334,06"	"5.250"	"262"	"0,6069"	"179.797,060"	4.85	"72,57"
"340"	"Santo Inácio"	"5.276"	"0,641"	"0,50"	"0,72"	"90,63"	"829,40"	"2.407.517,36"	"1.255"	"65"	"0,6616"	"145.159,650"	4.55	"79,71"
"341"	"São Carlos do Ivaí"	"6.389"	"0,547"	"0,36"	"0,66"	"89,23"	"635,85"	"2.362.457,12"	"1.367"	"65"	"0,5022"	"119.667,841"	4.35	"89,38"
"342"	"São Jerônimo da Serra"	"11.306"	"0,503"	"0,32"	"0,62"	"82,77"	"393,81"	"5.216.680,50"	"3.408"	"218"	"0,2846"	"84.938,512"	4.15	"49,93"
"343"	"São João"	"10.553"	"0,660"	"0,44"	"0,80"	"92,34"	"605,55"	"4.478.560,62"	"2.391"	"151"	"0,7492"	"175.479,498"	5.25	"63,54"
"344"	"São João do Caiuá"	"5.898"	"0,551"	"0,37"	"0,66"	"86,81"	"545,41"	"2.960.753,85"	"1.774"	"84"	"0,6628"	"64.372,160"	4.5	"85,25"
"345"	"São João do Ivaí"	"11.397"	"0,611"	"0,40"	"0,75"	"83,79"	"540,31"	"3.828.753,79"	"2.886"	"155"	"0,6819"	"120.531,815"	4.45	"77,00"
"346"	"São João do Triunfo"	"13.803"	"0,475"	"0,29"	"0,60"	"92,16"	"471,43"	"4.857.058,77"	"3.296"	"126"	"0,4528"	"219.058,090"	4.4	"29,54"
"347"	"São Jorge d'Oeste"	"9.068"	"0,656"	"0,45"	"0,78"	"92,72"	"641,70"	"3.774.833,55"	"1.918"	"123"	"0,6626"	"114.203,527"	5.75	"57,39"
"348"	"São Jorge do Ivaí"	"5.512"	"0,696"	"0,48"	"0,83"	"90,94"	"738,42"	"2.069.590,52"	"1.156"	"69"	"0,8231"	"132.460,822"	5.25	"86,66"
"349"	"São Jorge do Patrocínio"	"5.998"	"0,543"	"0,32"	"0,70"	"85,53"	"630,80"	"2.601.402,97"	"1.389"	"81"	"0,8074"	"51.216,292"	4	"58,58"
"350"	"São José da Boa Vista"	"6.476"	"0,594"	"0,37"	"0,74"	"88,56"	"458,85"	"2.713.611,25"	"1.462"	"82"	"0,7225"	"66.288,595"	4.75	"59,35"
"351"	"São José das Palmeiras"	"3.810"	"0,627"	"0,42"	"0,76"	"86,16"	"570,26"	"2.067.378,91"	"1.002"	"41"	"0,6235"	"38.787,560"	3.8	"62,95"
"352"	"São José dos Pinhais"	"268.808"	"0,678"	"0,61"	"0,71"	"96,60"	"846,93"	"122.021.556,49"	"68.299"	"2.317"	"0,5872"	"17.238.007,809"	4.45	"89,66"
"353"	"São Manoel do Paraná"	"2.100"	"0,640"	"0,40"	"0,80"	"86,50"	"710,62"	"1.632.496,59"	"547"	"36"	"0,8652"	"21.892,421"	4.75	"55,24"
"354"	"São Mateus do Sul"	"41.617"	"0,623"	"0,47"	"0,71"	"96,16"	"669,78"	"15.814.701,95"	"11.294"	"541"	"0,6645"	"567.737,132"	5.1	"62,31"
"355"	"São Miguel do Iguaçu"	"25.872"	"0,588"	"0,41"	"0,70"	"91,96"	"734,88"	"12.406.421,51"	"6.885"	"308"	"0,6406"	"544.432,162"	4.85	"63,97"
"356"	"São Pedro do Iguaçu"	"6.431"	"0,581"	"0,37"	"0,72"	"88,36"	"573,84"	"2.668.473,30"	"1.619"	"86"	"0,5963"	"85.834,413"	3.9	"62,47"
"357"	"São Pedro do Ivaí"	"10.221"	"0,627"	"0,49"	"0,70"	"89,30"	"632,22"	"3.576.276,97"	"2.381"	"119"	"0,6133"	"171.482,914"	4.35	"79,12"
"358"	"São Pedro do Paraná"	"2.473"	"0,616"	"0,42"	"0,74"	"87,43"	"544,76"	"2.017.387,01"	"638"	"43"	"0,7299"	"27.602,366"	3.8	"65,48"
"359"	"São Sebastião da Amoreira"	"8.632"	"0,651"	"0,45"	"0,77"	"85,54"	"582,81"	"2.366.890,80"	"2.304"	"132"	"0,5641"	"90.618,167"	4.15	"88,02"
"360"	"São Tomé"	"5.373"	"0,660"	"0,45"	"0,79"	"90,88"	"651,78"	"2.092.504,04"	"1.611"	"85"	"0,7653"	"86.800,453"	5.1	"83,12"
"361"	"Sapopema"	"6.726"	"0,509"	"0,31"	"0,64"	"83,03"	"603,35"	"3.170.121,64"	"2.072"	"110"	"0,3876"	"51.119,018"	3.85	"52,73"
"362"	"Sarandi"	"83.724"	"0,579"	"0,42"	"0,67"	"92,91"	"554,48"	"19.259.408,13"	"19.738"	"733"	"0,5681"	"725.972,595"	4	"99,15"
"363"	"Saudade do Iguaçu"	"5.061"	"0,611"	"0,38"	"0,76"	"91,74"	"604,56"	"3.280.387,66"	"1.313"	"65"	"0,6619"	"992.201,348"	4.9	"49,78"
"364"	"Sengés"	"18.463"	"0,546"	"0,36"	"0,66"	"91,57"	"479,70"	"6.522.868,84"	"4.721"	"199"	"0,6047"	"252.170,122"	4.6	"82,04"
"365"	"Serranópolis do Iguaçu"	"4.555"	"0,662"	"0,44"	"0,80"	"95,93"	"1.012,88"	"3.837.285,41"	"917"	"51"	"0,8000"	"103.872,563"	4.6	"50,83"
"366"	"Sertaneja"	"5.763"	"0,651"	"0,47"	"0,76"	"90,44"	"725,23"	"3.426.328,38"	"1.534"	"113"	"0,7171"	"135.965,715"	5.45	"87,76"
"367"	"Sertanópolis"	"15.676"	"0,655"	"0,46"	"0,78"	"93,22"	"701,27"	"4.678.867,08"	"3.716"	"201"	"0,7426"	"279.798,498"	4.75	"87,68"
"368"	"Siqueira Campos"	"18.643"	"0,588"	"0,42"	"0,69"	"91,20"	"655,16"	"5.265.481,34"	"4.759"	"260"	"0,6597"	"226.783,415"	5.3	"72,74"
"369"	"Sulina"	"3.354"	"0,570"	"0,33"	"0,74"	"91,59"	"563,32"	"1.412.897,37"	"752"	"46"	"0,5590"	"38.920,059"	4.45	"40,95"
"370"	"Tamarana"	"12.458"	"0,460"	"0,35"	"0,52"	"84,75"	"398,24"	"4.082.715,31"	"2.317"	"103"	"0,5072"	"151.818,219"	4.5	"47,77"
"371"	"Tamboara"	"4.696"	"0,674"	"0,48"	"0,79"	"89,06"	"546,32"	"1.289.261,63"	"965"	"53"	"0,6550"	"55.959,450"	4.8	"85,68"
"372"	"Tapejara"	"14.712"	"0,612"	"0,41"	"0,73"	"88,23"	"599,13"	"5.150.978,36"	"3.984"	"154"	"0,6923"	"228.380,499"	4.65	"90,19"
"373"	"Tapira"	"5.802"	"0,619"	"0,40"	"0,76"	"86,10"	"583,51"	"2.039.513,13"	"1.314"	"66"	"0,7990"	"55.638,360"	4.95	"58,86"
"374"	"Teixeira Soares"	"10.444"	"0,544"	"0,38"	"0,65"	"94,50"	"536,39"	"5.145.061,45"	"2.357"	"111"	"0,5522"	"122.824,007"	4.8	"46,64"
"375"	"Telêmaco Borba"	"70.535"	"0,657"	"0,54"	"0,72"	"92,65"	"732,78"	"18.779.324,12"	"19.916"	"771"	"0,6165"	"1.804.286,902"	3.8	"97,95"
"376"	"Terra Boa"	"15.864"	"0,680"	"0,46"	"0,82"	"91,33"	"653,34"	"5.283.266,64"	"3.611"	"146"	"0,7986"	"181.612,671"	5.05	"82,73"
"377"	"Terra Rica"	"15.331"	"0,613"	"0,45"	"0,71"	"89,26"	"614,23"	"4.499.175,14"	"4.040"	"172"	"0,7704"	"161.794,926"	4.8	"81,27"
"378"	"Terra Roxa"	"16.795"	"0,639"	"0,47"	"0,74"	"89,95"	"611,85"	"4.903.698,81"	"3.785"	"180"	"0,5583"	"323.637,589"	4.4	"76,38"
"379"	"Tibagi"	"19.414"	"0,519"	"0,35"	"0,62"	"87,88"	"543,05"	"8.556.385,91"	"5.637"	"207"	"0,5481"	"389.552,815"	4.1	"60,32"
"380"	"Tijucas do Sul"	"14.712"	"0,479"	"0,32"	"0,57"	"91,41"	"547,62"	"5.774.513,91"	"4.038"	"146"	"0,4392"	"215.887,031"	4.3	"15,72"
"381"	"Toledo"	"120.934"	"0,702"	"0,58"	"0,76"	"95,40"	"876,72"	"38.401.066,84"	"31.585"	"1.529"	"0,7963"	"2.438.245,700"	5.4	"90,74"
"382"	"Tomazina"	"8.704"	"0,622"	"0,37"	"0,80"	"86,77"	"489,45"	"2.417.237,28"	"1.845"	"126"	"0,6077"	"101.782,668"	4.65	"46,85"
"383"	"Três Barras do Paraná"	"11.825"	"0,557"	"0,38"	"0,67"	"87,52"	"562,22"	"4.051.148,59"	"2.966"	"152"	"0,5170"	"159.340,503"	4.5	"51,55"
"384"	"Tunas do Paraná"	"6.460"	"0,444"	"0,26"	"0,57"	"81,75"	"431,27"	"3.569.502,91"	"2.128"	"76"	"0,3386"	"53.011,383"	4	"44,63"
"385"	"Tuneiras do Oeste"	"8.671"	"0,629"	"0,43"	"0,75"	"90,51"	"493,46"	"3.041.227,92"	"2.174"	"116"	"0,6106"	"92.015,474"	4.15	"68,69"
"386"	"Tupãssi"	"7.996"	"0,649"	"0,45"	"0,77"	"93,18"	"711,31"	"3.327.278,55"	"2.015"	"139"	"0,8447"	"145.151,025"	5.5	"78,60"
"387"	"Turvo"	"13.717"	"0,549"	"0,36"	"0,67"	"87,70"	"512,21"	"5.441.531,73"	"4.031"	"180"	"0,4719"	"201.961,600"	4.4	"36,55"
"388"	"Ubiratã"	"21.479"	"0,669"	"0,47"	"0,79"	"90,37"	"648,36"	"6.552.107,08"	"5.520"	"244"	"0,7245"	"334.638,279"	4.8	"85,34"
"389"	"Umuarama"	"101.443"	"0,698"	"0,56"	"0,77"	"93,85"	"880,60"	"25.061.331,80"	"23.825"	"937"	"0,7431"	"1.467.370,961"	4.95	"92,83"
"390"	"União da Vitória"	"53.059"	"0,680"	"0,56"	"0,74"	"95,96"	"674,29"	"23.471.886,48"	"14.804"	"757"	"0,7788"	"723.334,533"	4.2	"94,78"
"391"	"Uniflor"	"2.474"	"0,655"	"0,48"	"0,76"	"89,73"	"586,30"	"1.232.089,24"	"665"	"36"	"0,6648"	"28.625,084"	4.6	"80,58"
"392"	"Uraí"	"11.441"	"0,655"	"0,45"	"0,79"	"88,93"	"617,75"	"4.053.160,72"	"2.853"	"166"	"0,6709"	"108.859,520"	4.75	"81,57"
"393"	"Ventania"	"10.106"	"0,543"	"0,35"	"0,67"	"85,12"	"411,92"	"4.145.968,53"	"2.610"	"100"	"0,3154"	"149.618,316"	4.2	"65,39"
"394"	"Vera Cruz do Oeste"	"8.921"	"0,601"	"0,41"	"0,72"	"88,89"	"632,91"	"2.718.291,18"	"2.278"	"121"	"0,6781"	"111.266,942"	4.85	"76,49"
"395"	"Verê"	"7.814"	"0,626"	"0,39"	"0,78"	"89,21"	"661,18"	"2.979.415,60"	"1.768"	"95"	"0,7703"	"102.765,234"	5.5	"41,65"
"396"	"Virmond"	"3.951"	"0,628"	"0,40"	"0,78"	"92,80"	"655,20"	"1.721.865,78"	"1.016"	"57"	"0,6842"	"53.426,321"	5.05	"47,59"
"397"	"Vitorino"	"6.531"	"0,582"	"0,42"	"0,68"	"94,30"	"742,97"	"3.168.308,63"	"1.366"	"70"	"0,7444"	"134.402,408"	5.7	"61,23"
"398"	"Wenceslau Braz"	"19.278"	"0,594"	"0,43"	"0,69"	"89,04"	"594,42"	"5.797.904,66"	"5.223"	"259"	"0,5414"	"193.932,356"	4.75	"80,37"
"399"	"Xambrê"	"5.975"	"0,606"	"0,41"	"0,73"	"87,14"	"633,91"	"1.746.629,66"	"1.341"	"66"	"0,6026"	"42.122,633"	4.55	"33,10"
